index,video_id,label_from_thumbnail_or_title,url,thumb_file
26,KmLJRg-ajG0,"""개발은 이제 배우지마"" (앤트로픽 대표)",https://www.youtube.com/watch?v=KmLJRg-ajG0,artifacts/bzcf_thumbnails/thumbs/026_개발은 이제 배우지마 (앤트로픽 대표).jpg
27,FC_RA_7b-zU,"""핸드폰좀 그만 봐"" (타일러 더 크리에이터)",https://www.youtube.com/watch?v=FC_RA_7b-zU,artifacts/bzcf_thumbnails/thumbs/027_핸드폰좀 그만 봐 (타일러 더 크리에이터).jpg
28,T8RD1OZ01Pw,"""일론에게 풀베팅 간다"" (테슬라 초기 투자자 론 바론)",https://www.youtube.com/watch?v=T8RD1OZ01Pw,artifacts/bzcf_thumbnails/thumbs/028_일론에게 풀베팅 간다 (테슬라 초기 투자자 론 바론).jpg
29,NrtrXIgX2E8,"""테슬라 반도체 만든다""",https://www.youtube.com/watch?v=NrtrXIgX2E8,artifacts/bzcf_thumbnails/thumbs/029_테슬라 반도체 만든다.jpg
30,5Y431jwqTiU,반도체 이제 10% 왔다 (반도체 전설 짐켈러),https://www.youtube.com/watch?v=5Y431jwqTiU,artifacts/bzcf_thumbnails/thumbs/030_반도체 이제 10% 왔다 (반도체 전설 짐켈러).jpg
31,kJ1xwyAxcpQ,"""나는 봤어 미래를"" (일론 머스크)",https://www.youtube.com/watch?v=kJ1xwyAxcpQ,artifacts/bzcf_thumbnails/thumbs/031_나는 봤어 미래를 (일론 머스크).jpg
32,kUUJ1rnQwGs,"""그냥 테슬라 사세요"" (일론 머스크)",https://www.youtube.com/watch?v=kUUJ1rnQwGs,artifacts/bzcf_thumbnails/thumbs/032_그냥 테슬라 사세요 (일론 머스크).jpg
33,cVPV-iTvmYQ,"""인공지능은 쓰나미"" (앤트로픽 CEO 인터뷰)",https://www.youtube.com/watch?v=cVPV-iTvmYQ,artifacts/bzcf_thumbnails/thumbs/033_인공지능은 쓰나미 (앤트로픽 CEO 인터뷰).jpg
34,Gag2kz3C7_8,"""투자하시면 꼭 보세요"" (스탠리 드러켄밀러)",https://www.youtube.com/watch?v=Gag2kz3C7_8,artifacts/bzcf_thumbnails/thumbs/034_투자하시면 꼭 보세요 (스탠리 드러켄밀러).jpg
35,6CyopBiXtEI,"""I'm betting on you"" (Skin in the Game, Nassim Taleb)",https://www.youtube.com/watch?v=6CyopBiXtEI,"artifacts/bzcf_thumbnails/thumbs/035_I'm betting on you (Skin in the Game, Nassim Taleb).jpg"
36,AEZw0oEkfR0,"The ""Time Management"" of a 5 Trillion Won Company Founder",https://www.youtube.com/watch?v=AEZw0oEkfR0,artifacts/bzcf_thumbnails/thumbs/036_The Time Management of a 5 Trillion Won Company Founder.jpg
37,0dlxRdbq-0Q,"""나에게 시간이 더 있다면""",https://www.youtube.com/watch?v=0dlxRdbq-0Q,artifacts/bzcf_thumbnails/thumbs/037_나에게 시간이 더 있다면.jpg
38,MI1uF10laRs,"""시대 흐름에 반하지 마"" (오픈클로 개발자)",https://www.youtube.com/watch?v=MI1uF10laRs,artifacts/bzcf_thumbnails/thumbs/038_시대 흐름에 반하지 마 (오픈클로 개발자).jpg
39,s0yLaj-3-aw,"""24살 창업, 29살 코스닥 상장"" (다음 창업자 이택경 대표) (현 매쉬업벤처스 대표)",https://www.youtube.com/watch?v=s0yLaj-3-aw,"artifacts/bzcf_thumbnails/thumbs/039_24살 창업, 29살 코스닥 상장 (다음 창업자 이택경 대표) (현 매쉬업벤처스 대표).jpg"
40,YEzALU9tWBg,"""What a 50-Year-Old Billionaire Realized"" (Chamath)",https://www.youtube.com/watch?v=YEzALU9tWBg,artifacts/bzcf_thumbnails/thumbs/040_What a 50-Year-Old Billionaire Realized (Chamath).jpg
41,7apM-N2ImOs,개 쩌는 대화 (안드레 카파시),https://www.youtube.com/watch?v=7apM-N2ImOs,artifacts/bzcf_thumbnails/thumbs/041_개 쩌는 대화 (안드레 카파시).jpg
42,DXM9iD6OB-4,"""History repeats itself"" (Ray Dalio)",https://www.youtube.com/watch?v=DXM9iD6OB-4,artifacts/bzcf_thumbnails/thumbs/042_History repeats itself (Ray Dalio).jpg
43,VtHC0MabgRI,"""Now you figure it out"" (Trump's official statement)",https://www.youtube.com/watch?v=VtHC0MabgRI,artifacts/bzcf_thumbnails/thumbs/043_Now you figure it out (Trump's official statement).jpg
44,Dl1IuW8suJ0,Anthropic is a patriotic company.,https://www.youtube.com/watch?v=Dl1IuW8suJ0,artifacts/bzcf_thumbnails/thumbs/044_Anthropic is a patriotic company.jpg
45,BGJY0uO7p0k,"""중국은 대체 못해"" (젠슨 황)",https://www.youtube.com/watch?v=BGJY0uO7p0k,artifacts/bzcf_thumbnails/thumbs/045_중국은 대체 못해 (젠슨 황).jpg
46,OnNSlKSDhDM,세상은 이미 바뀌었는데 (샘 알트먼),https://www.youtube.com/watch?v=OnNSlKSDhDM,artifacts/bzcf_thumbnails/thumbs/046_세상은 이미 바뀌었는데 (샘 알트먼).jpg
47,HJRpYF7FKso,"""다들 죽기살기 모드"" (실리콘밸리)",https://www.youtube.com/watch?v=HJRpYF7FKso,artifacts/bzcf_thumbnails/thumbs/047_다들 죽기살기 모드 (실리콘밸리).jpg
48,6sVXPqlimuU,시간관리 3법칙 딱알려준다 (칼 뉴포트),https://www.youtube.com/watch?v=6sVXPqlimuU,artifacts/bzcf_thumbnails/thumbs/048_시간관리 3법칙 딱알려준다 (칼 뉴포트).jpg
49,Kt7cLrDMFwQ,The Dopamine-Filled Era (Onboard Group CEO Lee Hyeon-jong),https://www.youtube.com/watch?v=Kt7cLrDMFwQ,artifacts/bzcf_thumbnails/thumbs/049_The Dopamine-Filled Era (Onboard Group CEO Lee Hyeon-jong).jpg
50,y7R3oZDy7pA,"""내 말 들으라고"" (블랙록 래리핑크)",https://www.youtube.com/watch?v=y7R3oZDy7pA,artifacts/bzcf_thumbnails/thumbs/050_내 말 들으라고 (블랙록 래리핑크).jpg
51,UJ2wokHa4sU,"""싱가포르가 성공한 이유"" (리콴유)",https://www.youtube.com/watch?v=UJ2wokHa4sU,artifacts/bzcf_thumbnails/thumbs/051_싱가포르가 성공한 이유 (리콴유).jpg
52,7Re9B_yDzI0,1시간 볼만한 가치 있다 (a16z 풀인터뷰),https://www.youtube.com/watch?v=7Re9B_yDzI0,artifacts/bzcf_thumbnails/thumbs/052_1시간 볼만한 가치 있다 (a16z 풀인터뷰).jpg
53,56LR8Tmf6Jc,가난해지는 일본,https://www.youtube.com/watch?v=56LR8Tmf6Jc,artifacts/bzcf_thumbnails/thumbs/053_가난해지는 일본.jpg
54,e4O2jqQMG2s,오픈클로 개발자 단독 인터뷰,https://www.youtube.com/watch?v=e4O2jqQMG2s,artifacts/bzcf_thumbnails/thumbs/054_오픈클로 개발자 단독 인터뷰.jpg
55,gp3GzFFkz7Q,일론머스크는 천재가 맞다 (세콰이어 캐피탈 - SpaceX투자자),https://www.youtube.com/watch?v=gp3GzFFkz7Q,artifacts/bzcf_thumbnails/thumbs/055_일론머스크는 천재가 맞다 (세콰이어 캐피탈 - SpaceX투자자).jpg
56,gpwK8RMjr_g,"""탁상공론 개 싫다"" (팔란티어 알렉스카프)",https://www.youtube.com/watch?v=gpwK8RMjr_g,artifacts/bzcf_thumbnails/thumbs/056_탁상공론 개 싫다 (팔란티어 알렉스카프).jpg
57,u9BHHLOOgKE,제미나이는 독보적이다 (구글 딥마인드),https://www.youtube.com/watch?v=u9BHHLOOgKE,artifacts/bzcf_thumbnails/thumbs/057_제미나이는 독보적이다 (구글 딥마인드).jpg
58,95Izndx_caA,지금이라도 사라 비트코인,https://www.youtube.com/watch?v=95Izndx_caA,artifacts/bzcf_thumbnails/thumbs/058_지금이라도 사라 비트코인.jpg
59,_yumjhDbDWk,생각의 외주화,https://www.youtube.com/watch?v=_yumjhDbDWk,artifacts/bzcf_thumbnails/thumbs/059_생각의 외주화.jpg
